Gene	Module	kME
0	P1_I42_M2	0.93
1	P1_I42_M1	0.93
2	P1_I42_M2	0.93
3	P2_I11_M4	0.87
4	P3_I9_M4	0.84
5	P1_I42_M1	0.94
6	P3_I9_M7	0.92
7	P4_I11_M1	0.82
8	UNCLASSIFIED	NA
9	UNCLASSIFIED	NA
10	P2_I11_M4	0.9
11	P7_I4_M1	0.84
12	P2_I11_M5	0.87
13	UNCLASSIFIED	NA
14	UNCLASSIFIED	NA
15	UNCLASSIFIED	NA
16	UNCLASSIFIED	NA
17	UNCLASSIFIED	NA
18	UNCLASSIFIED	NA
19	P1_I42_M1	0.86
20	UNCLASSIFIED	NA
21	P3_I9_M4	0.9
22	P1_I42_M2	0.93
23	P2_I11_M1	0.87
24	P1_I42_M1	0.89
25	UNCLASSIFIED	NA
26	P2_I11_M2	0.84
27	UNCLASSIFIED	NA
28	UNCLASSIFIED	NA
29	UNCLASSIFIED	NA
30	P2_I11_M1	0.87
31	UNCLASSIFIED	NA
32	P2_I11_M4	0.91
33	P1_I42_M2	0.93
34	P1_I42_M2	0.91
35	UNCLASSIFIED	NA
36	P1_I42_M2	0.88
37	P1_I42_M2	0.95
38	P1_I42_M2	0.92
39	P2_I11_M1	0.93
40	P2_I11_M4	0.91
41	UNCLASSIFIED	NA
42	P1_I42_M2	0.87
43	UNCLASSIFIED	NA
44	P2_I11_M4	0.84
45	UNCLASSIFIED	NA
46	P3_I9_M7	0.82
47	UNCLASSIFIED	NA
48	P1_I42_M1	0.94
49	P3_I9_M4	0.85
50	UNCLASSIFIED	NA
51	P2_I11_M5	0.89
52	P1_I42_M1	0.9
53	P1_I42_M1	0.92
54	UNCLASSIFIED	NA
55	UNCLASSIFIED	NA
56	UNCLASSIFIED	NA
57	P1_I42_M1	0.88
58	P2_I11_M5	0.95
59	UNCLASSIFIED	NA
60	P1_I42_M1	0.89
61	P1_I42_M2	0.92
62	P1_I42_M2	0.92
63	P3_I9_M4	0.89
64	P1_I42_M2	0.97
65	P1_I42_M1	0.88
66	P2_I11_M2	0.91
67	P3_I9_M3	0.85
68	UNCLASSIFIED	NA
69	P1_I42_M2	0.97
70	UNCLASSIFIED	NA
71	UNCLASSIFIED	NA
72	P1_I42_M2	0.91
73	P1_I42_M1	0.89
74	UNCLASSIFIED	NA
75	UNCLASSIFIED	NA
76	P1_I42_M2	0.91
77	UNCLASSIFIED	NA
78	P1_I42_M1	0.93
79	P1_I42_M2	0.95
80	P1_I42_M1	0.89
81	UNCLASSIFIED	NA
82	UNCLASSIFIED	NA
83	P1_I42_M1	0.91
84	P1_I42_M1	0.94
85	UNCLASSIFIED	NA
86	P1_I42_M1	0.86
87	P2_I11_M2	0.81
88	P2_I11_M1	0.86
89	UNCLASSIFIED	NA
90	P1_I42_M2	0.97
91	P3_I9_M6	0.85
92	P1_I42_M2	0.91
93	P4_I11_M7	0.88
94	P1_I42_M1	0.89
95	UNCLASSIFIED	NA
96	P1_I42_M1	0.95
97	UNCLASSIFIED	NA
98	P2_I11_M3	0.88
99	UNCLASSIFIED	NA
100	P1_I42_M2	0.88
101	UNCLASSIFIED	NA
102	UNCLASSIFIED	NA
103	UNCLASSIFIED	NA
104	P4_I11_M5	0.91
105	P1_I42_M1	0.95
106	UNCLASSIFIED	NA
107	UNCLASSIFIED	NA
108	P5_I9_M6	0.81
109	P4_I11_M6	0.83
110	UNCLASSIFIED	NA
111	P1_I42_M1	0.96
112	UNCLASSIFIED	NA
113	P2_I11_M5	0.9
114	P1_I42_M2	0.93
115	P3_I9_M8	0.89
116	P4_I11_M9	0.82
117	P1_I42_M1	0.85
118	P1_I42_M1	0.91
119	P1_I42_M2	0.96
120	P2_I11_M2	0.93
121	UNCLASSIFIED	NA
122	UNCLASSIFIED	NA
123	UNCLASSIFIED	NA
124	UNCLASSIFIED	NA
125	P1_I42_M1	0.87
126	P1_I42_M2	0.89
127	UNCLASSIFIED	NA
128	P3_I9_M8	0.84
129	UNCLASSIFIED	NA
130	P5_I9_M11	0.85
131	P1_I42_M1	0.86
132	P1_I42_M1	0.92
133	P1_I42_M2	0.94
134	P1_I42_M1	0.88
135	UNCLASSIFIED	NA
136	P1_I42_M1	0.89
137	P1_I42_M2	0.93
138	UNCLASSIFIED	NA
139	P2_I11_M4	0.84
140	P4_I11_M3	0.88
141	P1_I42_M1	0.93
142	P1_I42_M1	0.96
143	P1_I42_M1	0.84
144	P1_I42_M2	0.93
145	P6_I6_M8	0.83
146	UNCLASSIFIED	NA
147	UNCLASSIFIED	NA
148	P2_I11_M5	0.9
149	UNCLASSIFIED	NA
150	P3_I9_M5	0.83
151	P1_I42_M2	0.95
152	P1_I42_M2	0.94
153	P1_I42_M1	0.89
154	UNCLASSIFIED	NA
155	UNCLASSIFIED	NA
156	P1_I42_M2	0.93
157	UNCLASSIFIED	NA
158	P1_I42_M2	0.95
159	UNCLASSIFIED	NA
160	P1_I42_M2	0.93
161	P3_I9_M1	0.85
162	P1_I42_M1	0.92
