Gene	Module	kME
0	P1_I1_M2	0.93
1	P1_I1_M1	0.91
2	P1_I1_M2	0.93
3	P1_I1_M2	0.86
5	P1_I1_M1	0.94
7	P1_I1_M2	0.81
10	P1_I1_M2	0.83
12	P1_I1_M5	0.87
19	P1_I1_M1	0.88
21	P1_I1_M3	0.82
22	P1_I1_M2	0.93
23	P1_I1_M2	0.84
24	P1_I1_M1	0.91
26	P1_I1_M1	0.83
32	P1_I1_M2	0.85
33	P1_I1_M2	0.93
34	P1_I1_M2	0.91
36	P1_I1_M2	0.87
37	P1_I1_M2	0.94
38	P1_I1_M2	0.92
39	P1_I1_M4	0.88
42	P1_I1_M2	0.86
44	P1_I1_M2	0.83
48	P1_I1_M1	0.93
49	P1_I1_M3	0.84
51	P1_I1_M5	0.89
52	P1_I1_M1	0.88
53	P1_I1_M1	0.91
57	P1_I1_M1	0.91
58	P1_I1_M5	0.95
60	P1_I1_M1	0.87
61	P1_I1_M2	0.92
62	P1_I1_M2	0.92
63	P1_I1_M3	0.87
64	P1_I1_M2	0.97
65	P1_I1_M1	0.83
66	P1_I1_M1	0.89
67	P1_I1_M6	0.87
69	P1_I1_M2	0.97
72	P1_I1_M2	0.91
73	P1_I1_M1	0.89
76	P1_I1_M2	0.91
78	P1_I1_M1	0.93
79	P1_I1_M2	0.94
80	P1_I1_M1	0.87
83	P1_I1_M1	0.91
84	P1_I1_M1	0.92
86	P1_I1_M1	0.89
88	P1_I1_M2	0.81
90	P1_I1_M2	0.97
92	P1_I1_M2	0.9
94	P1_I1_M1	0.9
96	P1_I1_M1	0.93
98	P1_I1_M1	0.87
100	P1_I1_M2	0.88
104	P1_I1_M2	0.83
105	P1_I1_M1	0.94
111	P1_I1_M1	0.95
113	P1_I1_M5	0.91
114	P1_I1_M2	0.94
115	P1_I1_M8	0.89
117	P1_I1_M1	0.85
118	P1_I1_M1	0.89
119	P1_I1_M2	0.96
120	P1_I1_M1	0.83
125	P1_I1_M1	0.88
126	P1_I1_M2	0.88
127	P1_I1_M1	0.77
131	P1_I1_M3	0.9
132	P1_I1_M1	0.89
133	P1_I1_M2	0.94
134	P1_I1_M1	0.86
136	P1_I1_M1	0.85
137	P1_I1_M2	0.93
139	P1_I1_M2	0.86
140	P1_I1_M4	0.83
141	P1_I1_M1	0.93
142	P1_I1_M1	0.97
143	P1_I1_M2	0.86
144	P1_I1_M2	0.93
148	P1_I1_M5	0.9
151	P1_I1_M2	0.95
152	P1_I1_M2	0.94
153	P1_I1_M1	0.93
156	P1_I1_M2	0.93
158	P1_I1_M2	0.95
160	P1_I1_M2	0.92
162	P1_I1_M1	0.92
164	P1_I1_M4	0.86
165	P1_I1_M4	0.96
167	P1_I1_M6	0.88
168	P1_I1_M2	0.95
169	P1_I1_M4	0.93
170	P1_I1_M2	0.95
173	P1_I1_M1	0.76
175	P1_I1_M2	0.91
177	P1_I1_M5	0.86
178	P1_I1_M1	0.92
179	P1_I1_M4	0.93
180	P1_I1_M2	0.95
181	P1_I1_M2	0.8
183	P1_I1_M1	0.8
184	P1_I1_M2	0.94
188	P1_I1_M1	0.83
189	P1_I1_M2	0.83
194	P1_I1_M2	0.85
197	P1_I1_M5	0.85
198	P1_I1_M1	0.94
200	P1_I1_M4	0.89
201	P1_I1_M1	0.95
202	P1_I1_M3	0.83
203	P1_I1_M5	0.81
204	P1_I1_M2	0.96
209	P1_I1_M5	0.79
210	P1_I1_M1	0.92
211	P1_I1_M2	0.93
212	P1_I1_M4	0.83
213	P1_I1_M1	0.93
216	P1_I1_M1	0.85
217	P1_I1_M4	0.89
220	P1_I1_M5	0.9
221	P1_I1_M5	0.8
225	P1_I1_M1	0.88
227	P1_I1_M1	0.91
229	P1_I1_M8	0.93
230	P1_I1_M1	0.86
233	P1_I1_M1	0.93
234	P1_I1_M4	0.85
237	P1_I1_M1	0.82
238	P1_I1_M3	0.87
239	P1_I1_M1	0.95
241	P1_I1_M1	0.66
242	P1_I1_M1	0.87
243	P1_I1_M2	0.93
244	P1_I1_M1	0.89
249	P1_I1_M3	0.86
250	P1_I1_M1	0.89
251	P1_I1_M1	0.86
252	P1_I1_M4	0.87
256	P1_I1_M1	0.86
257	P1_I1_M1	0.91
259	P1_I1_M1	0.9
261	P1_I1_M1	0.95
262	P1_I1_M2	0.93
263	P1_I1_M3	0.87
265	P1_I1_M2	0.82
266	P1_I1_M1	0.81
269	P1_I1_M1	0.91
272	P1_I1_M1	0.87
273	P1_I1_M3	0.9
275	P1_I1_M2	0.93
276	P1_I1_M2	0.84
278	P1_I1_M1	0.83
280	P1_I1_M1	0.95
284	P1_I1_M2	0.94
292	P1_I1_M2	0.86
296	P1_I1_M1	0.87
300	P1_I1_M2	0.83
301	P1_I1_M1	0.92
302	P1_I1_M2	0.96
305	P1_I1_M2	0.93
308	P1_I1_M3	0.87
309	P1_I1_M1	0.85
310	P1_I1_M2	0.91
312	P1_I1_M2	0.96
313	P1_I1_M3	0.89
314	P1_I1_M2	0.83
315	P1_I1_M3	0.96
316	P1_I1_M2	0.89
317	P1_I1_M2	0.91
318	P1_I1_M1	0.85
320	P1_I1_M1	0.9
323	P1_I1_M4	0.83
325	P1_I1_M2	0.92
326	P1_I1_M7	0.8
327	P1_I1_M1	0.9
328	P1_I1_M2	0.91
332	P1_I1_M2	0.86
334	P1_I1_M1	0.78
345	P1_I1_M2	0.92
347	P1_I1_M1	0.96
349	P1_I1_M2	0.97
350	P1_I1_M2	0.93
351	P1_I1_M1	0.76
352	P1_I1_M1	0.88
353	P1_I1_M4	0.89
356	P1_I1_M2	0.85
357	P1_I1_M1	0.8
358	P1_I1_M4	0.84
359	P1_I1_M1	0.88
361	P1_I1_M1	0.81
362	P1_I1_M9	0.81
363	P1_I1_M2	0.82
364	P1_I1_M2	0.87
365	P1_I1_M2	0.85
366	P1_I1_M2	0.92
368	P1_I1_M2	0.88
370	P1_I1_M2	0.86
375	P1_I1_M2	0.93
376	P1_I1_M2	0.9
377	P1_I1_M2	0.86
378	P1_I1_M2	0.91
379	P1_I1_M2	0.95
